ticker,expected_active,download_status,last_error
EYUUF,True,success,
EZKGF,True,success,
FANDF,True,success,
FANDY,True,success,
FANUF,True,success,
FBASF,True,success,
FELTF,True,success,
FIELF,True,success,
FIGIF,True,success,
FJTNF,True,success,
FJTNY,True,success,
FJTSF,True,success,
FKDSF,True,success,
FKKFF,True,success,
FKKFY,True,success,
FKWAF,True,success,
FMMFF,True,success,
FMXUF,True,success,
FNOEF,True,success,
FOVSY,True,success,
FRCOF,True,success,
FREKF,True,success,
FRRZF,True,success,
FUJIF,True,success,
FUJSF,True,success,
FUJXF,True,success,
FUWAF,True,success,
GAERF,True,success,
GAILF,True,success,
GBOOF,True,success,
GBRSF,True,success,
GCHEF,True,success,
GDNGY,True,success,
GEDSF,True,success,
GFSEF,True,success,
GGDVY,True,success,
GIVPY,True,success,
GJNSF,True,success,
GLPJF,True,success,
GLYYY,True,success,
GMGSF,True,success,
GMOYF,True,success,
GMXTF,True,success,
GMYOY,True,success,
GMYTF,True,success,
GMYYF,True,success,
GNGBF,True,success,
GNIIF,True,success,
GPAEF,True,success,
GPFOF,True,success,
GRBMF,True,success,
GTMEF,True,success,
GTMEY,True,success,
GTOFF,True,success,
GUNGF,True,success,
GUOSF,True,success,
GWLLY,True,success,
GWNCF,True,success,
GWWTF,True,success,
GXYEF,True,success,
GYUAF,True,success,
HACBF,True,success,
HACBY,True,success,
HAZAF,True,success,
HBCYF,True,success,
HESAF,True,success,
HGKGY,True,success,
HGMCF,True,success,
HHSSF,True,success,
HISJF,True,success,
HIZOF,True,success,
HKCVF,True,success,
HKEPF,True,success,
HKPMF,True,success,
HKTGF,True,success,
HKTTF,True,success,
HKTTY,True,success,
HKUOF,True,success,
HKUOY,True,success,
HKXCF,True,success,
HLDVF,True,success,
HMRZF,True,success,
HNHAF,True,success,
HNSPF,True,success,
HNWAF,True,success,
HOCPF,True,success,
HOFJF,True,success,
HOIEF,True,success,
HOKCF,True,success,
HOKCY,True,success,
HOKRF,True,success,
HOSHF,True,success,
HPCRF,True,success,
HPHTF,True,success,
HPHTY,True,success,
HPIFF,True,success,
HPIFY,True,success,
HRIBF,True,success,
HROEY,True,success,
HROGF,True,success,
HRSEF,True,success,
HRSHF,True,success,
HSHIF,True,success,
HSHZY,True,success,
HSKCF,True,success,
HSSKY,True,success,
HSYDF,True,success,
HTCMF,True,success,
HTCMY,True,success,
HTOCF,True,success,
HUATF,True,success,
HULCF,True,success,
HUNGF,True,success,
HWARF,True,success,
HYKUF,True,success,
HYUHF,True,success,
IBADF,True,success,
IBDSF,True,success,
IBIDF,True,success,
ICHBF,True,success,
ICHIF,True,success,
IDCBF,True,success,
IDDTF,True,success,
IDDWF,True,success,
IDEXF,True,success,
IDKOY,True,success,
IDTRY,True,success,
IDTVF,True,success,
IESFY,True,success,
IFMNF,True,success,
IHHHF,True,success,
IHICF,True,success,
IIJIF,True,success,
IIJIY,True,success,
IITSF,True,success,
IMHDF,True,success,
IMHDY,True,success,
IMPUF,True,success,
INDOY,True,success,
INGVF,True,success,
INRHF,True,success,
IPXHF,True,success,
ISUZF,True,success,
ITCTY,True,success,
ITOCF,True,success,
IUSDF,True,success,
IVBIY,True,success,
IVBXF,True,success,
IVSBF,True,success,
IVSXF,True,success,
IVTBF,True,success,
IWTNF,True,success,
IZMIF,True,success,
JAIRF,True,success,
JAPAF,True,success,
JAPSY,True,success,
JBFCF,True,success,
JDCMF,True,success,
JDHIF,True,success,
JDHIY,True,success,
JDLGF,True,success,
JELLF,True,success,
JEXYF,True,success,
JEXYY,True,success,
JFEEF,True,success,
JGCCF,True,success,
JGCCY,True,success,
JGSMY,True,success,
JHPCY,True,success,
JNDOF,True,success,
JNNDF,True,success,
JPAVF,True,success,
JPDYY,True,success,
JPEVF,True,success,
JPHLF,True,success,
JPNPY,True,success,
JPNRF,True,success,
JPPIF,True,success,
JPRRF,True,success,
JPSTF,True,success,
JPSWF,True,success,
JPSWY,True,success,
JPTXF,True,success,
JREIF,True,success,
JRFIF,True,success,
JRHIF,True,success,
JSGCF,True,success,
JSGRY,True,success,
JTEKY,True,success,
JTTRY,True,success,
JVCKF,True,success,
JVCZY,True,success,
JXHGF,True,success,
JXHLY,True,success,
JYSKF,True,success,
JYSKY,True,success,
KAEPF,True,success,
KAEPY,True,success,
KAIKY,True,success,
KAJMF,True,success,
KAJMY,True,success,
KAKKF,True,success,
KANKF,True,success,
KAOCF,True,success,
KBKIF,True,success,
KBSTF,True,success,
KBYPF,True,success,
KCDMF,True,success,
KDDIF,True,success,
KDKWF,True,success,
KELRF,True,success,
KGBLY,True,success,
KGHPF,True,success,
KGMEF,True,success,
KGTFF,True,success,
KGTFY,True,success,
KGTHY,True,success,
KHEXF,True,success,
KHNRF,True,success,
KIKOF,True,success,
KIKOY,True,success,
KKKUF,True,success,
KKPCF,True,success,
KLYCY,True,success,
KMDHF,True,success,
KMGGF,True,success,
KMRIF,True,success,
KMTUF,True,success,
KNAMF,True,success,
KNBWF,True,success,
KNCAF,True,success,
KNCAY,True,success,
KNFSF,True,success,
KNMOF,True,success,
KNOIF,True,success,
KOBCY,True,success,
KOBNF,True,success,
KOKSF,True,success,
KONMY,True,success,
KOSCF,True,success,
KOZAY,True,success,
KPCPF,True,success,
KPCUF,True,success,
KPTCY,True,success,
KSANF,True,success,
KSHTY,True,success,
KSPHF,True,success,
KSRYY,True,success,
KSTUF,True,success,
KTERF,True,success,
KTHAF,True,success,
KTITF,True,success,
KTWIF,True,success,
KTWIY,True,success,
KUASF,True,success,
KUBTF,True,success,
KUCPF,True,success,
KUKYF,True,success,
KUMBF,True,success,
KUNUF,True,success,
KURCF,True,success,
KURRF,True,success,
KURRY,True,success,
KWPCF,True,success,
KYDKF,True,success,
KYHHY,True,success,
KYKOF,True,success,
KYKOY,True,success,
KYOCF,True,success,
KYRNF,True,success,
KYSEF,True,success,
KYSEY,True,success,
KYWAF,True,success,
LAAOF,True,success,
LBGUF,True,success,
LBLCF,True,success,
LEOPF,True,success,
LFABF,True,success,
LFCBY,True,success,
LIFCF,True,success,
LIFNF,True,success,
LIOPF,True,success,
LIOPY,True,success,
LKREF,True,success,
LLDTF,True,success,
LNTCY,True,success,
LNTEF,True,success,
LOBLY,True,success,
LRLCF,True,success,
LSRCF,True,success,
LTOUF,True,success,
MAEOY,True,success,
MAHLY,True,success,
MAHMF,True,success,
MAURF,True,success,
MAURY,True,success,
MAUSY,True,success,
MAWAF,True,success,
MBFJF,True,success,
MBGCF,True,success,
MBSHY,True,success,
